ASIN,Band Color,Band Material,Band size,Band width,Batteries,Bezel function,Bezel material,Brand Seller or Collection Name,Calendar,Case Thickness,Case diameter,Case material,Clasp,Country of Origin,Date First Available,Department,Dial color,Dial window material type,Display Type,Domestic Shipping,Height,International Shipping,Is Discontinued By Manufacturer,Item Length,Item Shape,Item model number,Item weight,Language,Length,Manufacturer,Manufacturer recommended age,Material,Metal,Metal stamp,Model Year,Model number,Movement,Package Dimensions,Part Number,Product Dimensions,Product Warranty,Special features,Water pressure resistance,Water resistant depth,Width,review,price
B008AXYWHQ,Black,Metal,Men's Standard,24 millimeters,1 Lithium Metal batteries required. (included,Stationary,Stainless Steel,Fossil,Date,13 millimeters,50 millimeters,Stainless Steel,Deployment Clasp,,20130201,Mens,Black,Mineral,Analog,,,,No,,Round,JR1401,10.4 Ounces,,,Fossil,,,,no-metal-stamp (Fashion only,2013,JR1401,Quartz,,JR1401,5.91 x 5.91 x 5.91 inches; 10.4 Ounces,"For warranty information about this product%please <a href=""/gp/feature.html/ref=dp_warranty_request_3P?docId=1002406021"" target=""_blank"">click here</a",Water Resistant%Second Hand,,165 Feet,,4.6,
B0BSHGX1NK,Black,Silicone,Men's Standard,22 millimeters,,12 Hour Time Display,Stainless Steel,Kenneth Cole REACTION,No Calendar,15 millimeters,48 millimeters,Metal,Buckle,China,20230117,Mens,Black,Mineral,Analog-Digital,,,,,,Round,KRWGP2183401,,,,Geneva Watch Group,,,,,,KRWGP2183401,Quartz,3.94 x 3.9 x 3.54 inches; 7.05 Ounces,KRWGP2183401,,,Water resistant,,30 Meters,,4.7,66.46
B01MUIC2SD,White,Faux Leather,Women's Standard,14.8 millimeters,1 Product Specific batteries required. (included,Stationary,Resin,Casio,Day-Date-Month,7.6 millimeters,25.5 millimeters,Resin,Buckle,Thailand,20170216,Womens,Gray,Glass,Digital,,,,No,,Square,LA-11WL-4ACF,9.98 Grams,,,Casio,,,,,2020,LA-11WL-4ACF,Quartz,,LA-11WL-4ACF,4.2 x 3.5 x 2.3 inches; 0.35 Ounces,,Water Resistant,,,,4.4,22.95
B0067MWDPA,Black,Resin,Women's Standard,14 millimeters,1 Lithium Metal batteries required. (included,Stationary,Resin,Casio,Day-Date,9 millimeters,30 millimeters,Resin,Buckle,China,20111114,Womens,Gray,Mineral,Digital,,,,No,,Square,LA20WH-1ACF,18 Grams,,,Cannon Gate Pub Inc,,,,,,LA20WH-1ACF,Japanese Quartz,,LA20WH-1ACF,0.63 Ounces,,Alarm,,,,4.5,16.88
B003BJFQW4,Gold,Stainless Steel,8.25 inches,14 millimeters,1 CR123A batteries required. (included,Stationary,Stainless Steel,Casio,Perpetual Calendar,8 millimeters,25 millimeters,Stainless Steel,Foldover Clasp,China,20100706,Womens,Black,Mineral,Digital,,,,No,,Square,LA670WGA-1,28 Grams,,,Casio,,,,,2013,LA670WGA-1,Quartz,,LA670WGA-1DF,1.18 x 0.28 x 0.94 inches; 0.99 Ounces,,Alarm,,30 Meters,,4.6,29.01
B00791QYMQ,White,Resin,Women's Standard,17 millimeters,1 Lithium Metal batteries required. (included,Bidirectional,Plastic,Casio,Day,12 millimeters,33 millimeters,Resin,Buckle,China,20120319,Womens,White,Mineral,Analog,,,,No,,Round,LRW200H-7BVCF,2.88 Ounces,,,Casio,,,,,2014,LRW200H-7BVCF,Japanese Quartz,,LRW200H-7BVCF,2.3 x 4.5 x 3.2 inches; 2.88 Ounces,,Water Resistant,,330 Feet,,4.5,26.75
B09S4NVCDW,Black,Resin,Men's Standard,25 millimeters,,Stationary,Resin,Casio,Date,13 millimeters,49.3 millimeters,Stainless Steel,Buckle,,20220209,,Black,Mineral,Analog,,,,,,Round,,1.76 Ounces,,,Casio,,,,,2020,MCW-100H-1A3VCF,Quartz,,MCW-100H-1A3VCF,,,Second hand,,330 Feet,,4.4,41.5
B00TGU6KMC,Black,Silicone,9 Inches,21 millimeters,1 Lithium Metal batteries required. (included,Stationary,Plastic,Casio,Date,13 millimeters,45 millimeters,Stainless Steel,Buckle,China,20150123,Mens,Black,Mineral,Digital,,,,No,,Round,MCW-100H-1AVCF,3.03 Ounces,,,Casio,,,,,2020,MCW-100H-1AVCF,Quartz,,MCW-100H-1AVCF,9.1 x 9.1 x 9.1 inches; 3.03 Ounces,,Water Resistant,,330 Feet,,4.6,38.95
B01GI9Z07Y,Orange,Resin,Men's Standard,25 millimeters,1 Product Specific batteries required. (included,Stationary,Resin,Casio,Date,13 millimeters,49.3 millimeters,Stainless Steel,Buckle,China,20160707,Mens,Black,Mineral,Analog,,,,No,,Round,MCW100H-4AV,1.76 Ounces,,,Casio,,,,,,MCW100H-4AV,Quartz,,MCW100H-4AV,9.1 x 9.1 x 9.1 inches; 1.76 Ounces,,Water Resistant%Chronograph,,330 Feet,,4.5,41.5
B01487C7CO,Brown,Leather,Men's Standard,22 millimeters,1 Lithium Metal batteries required,Stationary,Stainless Steel,Fossil,,12 millimeters,44 millimeters,Stainless Steel,Buckle,,20151218,Mens,Brown,Mineral,Analog,,,,No,,Round,ME3098,0.55 Grams,,,Fossil Watches,,,,,2015,ME3098,Automatic,,ME3098,1.73 x 0.87 x 0.47 inches; 0.02 Ounces,"For warranty information about this product%please <a href=""/gp/feature.html/ref=dp_warranty_request_3P?docId=1002406021"" target=""_blank"">click here</a",Water Resistant,,165 Feet,,4.6,140.63
B07Z467GYD,Blue,Leather,Men,22 millimeters,1 Unknown batteries required. (included,Stationary,Stainless Steel,Fossil,,11 millimeters,44 millimeters,Stainless Steel,Buckle,,20200401,Mens,White,Mineral,Analog,,,,,,Round,ME3171,2.89 Ounces,,,Fossil,,,,,2019,ME3171,Automatic,,ME3171,1.73 x 0.87 x 0.43 inches; 2.89 Ounces,,Water Resistant,,50 Meters,,4.6,
B007D41CUI,Silver,Stainless Steel,Women's Standard,12 millimeters,1 Lithium Metal batteries required. (included,Stationary,Stainless Steel,Michael Kors,,8 millimeters,42 millimeters,Stainless Steel,Push Button Foldover Clasp With Safety,,20120407,Womens,Silver,Mineral,Analog,,,,No,,Round,MK3178,4.03 Ounces,,,Michael Kors,,,,no-metal-stamp (Fashion only,2019,MK3178,Quartz,,MK3178,5.91 x 5.91 x 5.91 inches; 4.03 Ounces,"For warranty information about this product%please <a href=""/gp/feature.html/ref=dp_warranty_request_3P?docId=1002406021"" target=""_blank"">click here</a",Water Resistant,,50 Meters,,4.6,
B00C6PH61I,Black,Stainless Steel,Women's Standard,20 millimeters,1 LR44 batteries required. (included,Unidirectional,Stainless Steel,Michael Kors,,8 millimeters,42 millimeters,Stainless Steel,Push Button Foldover Clasp With Safety,,20130717,Womens,Black,Mineral,Analog,,,,No,,Round,MK3221,3.68 Ounces,,,Michael Kors Watches MFG Code,,,,,2019,MK3221,Quartz,,MK3221,2.68 x 7.09 x 3.15 inches; 3.68 Ounces,"For warranty information about this product%please <a href=""/gp/feature.html/ref=dp_warranty_request_3P?docId=1002406021"" target=""_blank"">click here</a",,,165 Feet,,4.6,
B00KBNDYW2,Multicolor,Stainless Steel,Women's Standard,12 millimeters,1 Product Specific batteries required. (included,Unidirectional,Stainless Steel,Michael Kors,,7 millimeters,26 millimeters,Stainless Steel,Push Button Foldover Clasp With Safety,,20140813,Womens,Silver,Mineral,Analog,,,,No,,Round,MK3298,5.29 Ounces,,,Michael Kors Watches MFG Code,,,,,2018,MK3298,Quartz,,MK3298,3.7 x 3.94 x 3.86 inches; 5.29 Ounces,"For warranty information about this product%please <a href=""/gp/feature.html/ref=dp_warranty_request_3P?docId=1002406021"" target=""_blank"">click here</a",Water Resistant,,165 Feet,,4.6,
B07QSK7DHR,Gold,Stainless steel-plated,Women's Standard,18 millimeters,1 Lithium Metal batteries required. (included,Stationary,Stainless Steel,Michael Kors,,7 millimeters,38 millimeters,Stainless Steel,Fold-over-clasp-with-safety,,20190430,Womens,Gold,Mineral,Analog,,,,,,Round,MK4339,2.8 Ounces,,,Michael Kors Watches,,,,,,MK4339,Quartz,,MK4339,0.71 x 1.65 x 0.28 inches; 2.8 Ounces,,Water Resistant,,165 Feet,,4.7,
B07G9RZ3RF,Rose Gold,Stainless steel-plated,Women's Standard,18 millimeters,1 LR44 batteries required. (included,Stationary,Stainless Steel,Michael Kors,,11 millimeters,37 millimeters,Stainless Steel,Deployment Clasp,,20180813,Womens,Rose Gold,Mineral,Analog,,,,,,Round,MK6598,8.8 Ounces,,,Michael Kors Watches,,,,,2014,MK6598,Quartz,3.78 x 3.7 x 3.46 inches; 8.8 Ounces,MK6598,,"For warranty information about this product%please <a href=""/gp/feature.html/ref=dp_warranty_request_3P?docId=1002406021"" target=""_blank"">click here</a",Chronograph,,165 Feet,,4.7,169.95
B01HEVAPSO,Black,Stainless Steel,9.5 inches,21 millimeters,1 Lithium Metal batteries required,Stationary,Stainless Steel,Michael Kors,,9 millimeters,42 millimeters,Stainless Steel,Deployment Clasp,,20160811,Mens,Black,Mineral,Analog,,,,No,,Round,MK8507,5.76 Ounces,,,Michael Kors Watches,,,,no-metal-stamp (Fashion only,2019,MK8507,Quartz,,MK8507,3.46 x 3.7 x 3.7 inches; 5.76 Ounces,,Second Hand,,165 Feet,,4.7,
B07Q6ZGFKF,Gold,Stainless Steel,Mens Standard,20 millimeters,1 Product Specific batteries required. (included,Stationary,Stainless Steel,Michael Kors,,9 millimeters,42 millimeters,Stainless Steel,Foldover Clasp,,20190611,Mens,Gold,Mineral,Analog,,,,,,Round,MK8702,2.15 Ounces,,,Michael Kors,,,,,,MK8702,Quartz,3.7 x 3.7 x 3.46 inches; 2.15 Ounces,MK8702,,,Water Resistant,,50 Meters,,4.6,
B009LSKPYI,Gunmetal,Stainless Steel,10 inches,24,1 Lithium Metal batteries required. (included,Stationary,Stainless Steel,Fossil,Date,14 millimeters,50 millimeters,Stainless Steel,Deployment Clasp,,20121005,Womens,Gray,Mineral,Analog,,,,No,,Round,Model: JR1437,6.98 Ounces,,,Fossil,,,,,2013,Model: JR1437,Quartz,,JR1437,5.91 x 5.91 x 5.91 inches; 6.98 Ounces,,Date Display%Second hand%Water resistant%Chronograph,,165 Feet,,4.5,
B000GAWSHM,Black,Silicone,Mens Standard,18 millimeters,1 Lithium Metal batteries required. (included,Stationary,Resin,Casio,,8 millimeters,35 millimeters,Stainless Steel,Buckle,China,20031112,Mens,Black,Resin Glass,Analog,,,,No,,Round,MQ24-1E,1.42 Grams,,,Casio,,,,,2020,MQ24-1E,Quartz,,MQ24-1E,3.4 x 8.5 x 0.06 inches; 0.05 Ounces,,Water-Resistant,,,,4.3,15.95
B008Z42IPI,Black,Resin,,22 millimeters,1 Nonstandard Battery batteries required,,,Casio,,10,35 millimeters,Resin,Buckle,,20120907,Mens,Black,Glass%Mineral,Analog,,,,No,,Round,MQ24,18.14 Grams,,,Casio,,,,,,MQ24,Japanese Quartz,4.33 x 3.35 x 2.91 inches; 0.64 Ounces,MQ24-1B,,,Water Resistant,,30 Meters,,4.3,
B09C1N8445,Black,Plastic,Mens Standard,15 millimeters,,,Resin,CASIO,,11.6 millimeters,44.6 millimeters,Resin,Tang Buckle,,20210807,Mens,Black,,Analog,,,,,,Round,MRW-200HJ-1BJH,,,,CASIO(ã‚«ã‚·ã‚ª) (AOAT9,,,,,,MRW-200HJ-1BJH,Quartz,5.71 x 2.24 x 1.97 inches; 2.47 Ounces,MRW-200HJ-1BJH,,"For warranty information about this product%please <a href=""/gp/feature.html/ref=dp_warranty_request_3P?docId=1002406021"" target=""_blank"">click here</a",Water Resistant,,100 Meters,,4.2,
B01L0APB5C,Black,Resin,11 inches,20 millimeters,1 Product Specific batteries required. (included,Bidirectional,Resin,Casio,Day-Date,14 millimeters,50 millimeters,Resin,Buckle,China,20091117,Mens,Black,Mineral,Analog,,,,No,,Round,MRW-210H-1AVCF,2.15 Ounces,,,Casio,,,,,2020,MRW-210H-1AVCF,Quartz,,MRW-210H-1AVCF,5 x 5 x 0.7 inches; 2.15 Ounces,,Day and Date%Water resistant,,330 Feet,,4.5,22.5
B09XVQGSDM,Green,Resin,Mens Standard,24 millimeters,1 Lithium Ion batteries required. (included,Stationary,Resin,Casio,Day-Date,14 millimeters,5.2 centimeters,Resin,Buckle,China,20220413,Mens,Black,Resin,Analog,,,,,,Round,MRW-210H-3AVCF,,,,Casio,,,,,,MRW-210H-3AVCF,Quartz,4.29 x 3.31 x 2.87 inches; 5.64 Ounces,MRW-210H-3AVCF,,,Arabic Numerals,,100 Meters,,4.4,28.99
B08SSRZDNT,Black,Nylon,Mens Standard,28.4 millimeters,1 Unknown batteries required. (included,Bidirectional,Resin,Casio,Day-Date,12 millimeters,5.3 centimeters,Resin,Hook &amp; Loop,Japan,20210112,Mens,Black,Glass,Analog,,,,,,Round,MRW-210HB-1BVCF,,,,Casio,,,,,2020,MRW-210HB-1BVCF,Quartz,4.33 x 3.31 x 2.95 inches; 5.29 Ounces,MRW-210HB-1BVCF,,,Water Resistant,,100 Meters,,4.4,31
B08SSJFG93,Khaki,Nylon,Mens Standard,28.4 millimeters,1 Unknown batteries required. (included,Bidirectional,Resin,Casio,Day-Date,12 millimeters,5.3 centimeters,Resin,Hook &amp; Loop,Japan,20210112,Mens,Khaki,Glass,Analog,,,,No,,Round,MRW-210HB-5BVCF,,,,Casio,,,,,2020,MRW-210HB-5BVCF,Quartz,4.29 x 3.35 x 2.95 inches; 5.29 Ounces,MRW-210HB-5BVCF,,,Water Resistant,,100 Meters,,4.3,31
B00BS8U8PU,Black,Resin,Men's Standard,18 millimeters,1 CR2 batteries required. (included,Bidirectional,Resin,Casio,Day-Date,12 millimeters,43 millimeters,Resin,Buckle,China,20130328,Womens,Black,Mineral,Analog,,,,No,,Round,MRW200H-2BV,3.84 Ounces,,,Casio,,,,,2020,MRW200H-2BV,Japanese Quartz,,MRW200H-2BV,2.36 x 4.17 x 3.78 inches; 3.84 Ounces,,Bezel Markings%Second Hand%Water Resistant%Day Display%Date Display,,330 Feet,,4.5,19.92
B00CMO8CCU,Black,Resin,Men's Standard,18 millimeters,1 Lithium Ion batteries required. (included,Bidirectional,Resin,Casio,Day-Date,12 millimeters,43 millimeters,Resin,Buckle,China,20130614,Mens,Black,Mineral,Analog,,,,No,,Round,MRW200H-3BV,3.21 Ounces,,,Casio,,,,,2020,MRW200H-3BV,Japanese Quartz,,MRW200H-3BV,,,Second Hand%Lightweight,,330 Feet,,4.3,19.92
